clause_id,clause_type,category,standard_text,plain_english_summary,risk_level,is_required,version,tags,metadata,active
IND-001,indemnification,indemnification,"[INDEMNIFYING_PARTY] shall defend, indemnify, and hold harmless [INDEMNIFIED_PARTY] and its officers, directors, employees, agents, successors, and assigns (collectively, ""Indemnitees"") from and against any and all claims, demands, suits, actions, proceedings, losses, damages, liabilities, settlements, costs, and expenses (including reasonable attorneys' fees and court costs) (collectively, ""Claims"") arising out of or relating to: (a) any breach or alleged breach of [INDEMNIFYING_PARTY]'s representations, warranties, or obligations under this Agreement; (b) any negligent or willful acts or omissions of [INDEMNIFYING_PARTY] or its employees, agents, or contractors; (c) any infringement or alleged infringement of any intellectual property rights, including patents, copyrights, trademarks, or trade secrets; (d) any violation of applicable laws, regulations, or industry standards by [INDEMNIFYING_PARTY]; (e) any bodily injury, death, or property damage caused by [INDEMNIFYING_PARTY]'s performance under this Agreement; or (f) any claims by third parties arising from [INDEMNIFYING_PARTY]'s services, products, or deliverables. [INDEMNIFYING_PARTY]'s obligations hereunder include the duty to defend against such Claims using counsel reasonably acceptable to [INDEMNIFIED_PARTY], and to pay all resulting judgments, settlements, damages, and costs. [INDEMNIFIED_PARTY] shall provide prompt written notice of any Claim, cooperate reasonably in the defense, and may participate in the defense with its own counsel at its own expense. [INDEMNIFYING_PARTY] shall not settle any Claim without [INDEMNIFIED_PARTY]'s prior written consent, which shall not be unreasonably withheld. These indemnification obligations shall survive termination of this Agreement.",,high,TRUE,1,"['indemnification', 'broad', 'hold_harmless', 'defense', 'comprehensive']","{'scope': 'broad', 'survival': True, 'word_count': 307, 'explanation': 'Comprehensive indemnification covering wide range of claims with duty to defend', 'placeholders': ['INDEMNIFYING_PARTY', 'INDEMNIFIED_PARTY'], 'covered_claims': ['breach', 'negligence', 'ip_infringement', 'regulatory_violation', 'bodily_injury', 'third_party_claims'], 'duty_to_defend': True, 'settlement_consent_required': True}",TRUE
LC-005-a,ftc_disclosure,compliance,"Influencer agrees to comply with all applicable FTC guidelines and shall include appropriate disclosure language (e.g., #ad, #sponsored) in all content created under this Agreement.",,critical,TRUE,1,"['ftc', 'disclosure', 'compliance']","{'embedding_model': 'embed-english-v3.0', 'cohere_embedding': [-0.0082092285, 0.0024871826, -0.059539795, -0.04168701, 0.00894928, -0.019577026, -0.03189087, 0.028167725, -0.032714844, 0.00093364716, -0.04067993, 0.03225708, -0.018661499, -0.017196655, 0.033111572, -0.038726807, 0.021408081, 0.015197754, 0.025100708, 0.00037813187, -0.003206253, 0.0068893433, 0.014587402, -0.002002716, 0.04071045, 0.0004451275, -0.011734009, 0.047668457, 0.014564514, 0.027145386, 0.048553467, -0.06878662, 0.009284973, 0.054748535, -0.047302246, 0.045043945, -0.01512146, 0.02961731, 0.011833191, 0.03189087, 0.036315918, -0.019134521, 0.061157227, -0.015014648, 0.021606445, -0.01600647, 0.037109375, -0.045837402, 0.016326904, 0.008407593, -0.0063171387, 0.013710022, 0.004173279, 0.021743774, -0.009162903, 0.0005736351, 0.001832962, -0.030792236, 0.022109985, -0.03668213, 0.005405426, 0.002111435, 0.046844482, 0.0513916, 0.04486084, -0.020126343, -0.019973755, 0.023422241, -0.0062408447, 0.0635376, 0.040161133, -0.03543091, 0.017410278, 0.0054397583, -0.026138306, -0.0357666, 0.038024902, 0.008041382, -0.0067634583, 0.0070533752, 0.06060791, 0.048431396, 0.02067566, -0.046691895, 0.023773193, -0.02357483, -0.00086069107, -0.037963867, 0.008003235, 0.012832642, -0.002401352, 0.013305664, 0.03668213, 0.022262573, -0.004524231, -0.020965576, 0.023712158, 0.06665039, -0.043029785, -0.00774765, -0.030960083, -0.003818512, -0.020874023, -0.024124146, -0.0051078796, 0.004558563, 0.010658264, 0.01386261, 0.04156494, 0.023757935, -0.0042877197, 0.025741577, 0.028015137, 0.06536865, -0.013954163, -0.0070381165, -0.021881104, 0.042541504, -0.051818848, 0.09643555, 0.023605347, 0.049865723, -0.0024852753, -0.010810852, -0.026870728, -0.008880615, -0.00541687, -0.0579834, -0.010467529, 0.0058898926, 0.012237549, 0.035705566, -0.039733887, -0.022613525, -0.03717041, -0.0014219284, -0.00491333, 0.016723633, -0.0026893616, -0.0031585693, -0.021896362, -0.0090789795, 0.046783447, -0.021652222, -0.0031337738, 0.017349243, -0.005584717, 0.011444092, 0.02218628, -0.044952393, 0.01701355, -0.051513672, 0.03643799, 0.0042877197, -0.0009832382, -0.02748108, 0.017410278, -0.021240234, 0.009895325, -0.022781372, -0.020080566, 0.0178833, 0.04650879, 0.014564514, 0.008155823, -0.020339966, 0.0020008087, 0.027740479, 0.005329132, 0.047729492, -0.0028209686, -0.024169922, -0.064575195, -0.024047852, -0.015357971, 0.0049209595, 0.0054512024, 0.0065841675, 0.023895264, -0.0035076141, 0.008270264, -0.009567261, 0.040008545, 0.005180359, -0.021331787, 0.0064353943, -0.011138916, -0.015258789, 0.016403198, -0.008216858, 0.0068206787, 0.037017822, -0.012680054, -0.05065918, -0.018203735, 0.010223389, 0.016311646, 0.024414062, -0.0018091202, 0.0022010803, 0.049560547, 0.037597656, -0.013877869, 0.0072021484, -0.06500244, 0.03060913, -0.026794434, 0.028030396, 0.033233643, 0.022247314, -0.015167236, -0.022567749, 0.013542175, -0.022354126, -0.017730713, 0.011680603, -0.026397705, 0.03894043, -0.016677856, 0.021865845, 0.017440796, -0.037231445, 0.02218628, 0.045562744, 0.03527832, -0.014953613, -0.0035171509, -0.03643799, 0.033721924, -0.021133423, 0.017364502, 0.033294678, -0.02671814, -0.021270752, -0.026519775, -0.0013380051, -0.011291504, -0.038848877, 0.014923096, 0.04638672, 0.02748108, 0.018081665, -0.0099487305, 0.0038070679, 0.06707764, 0.010108948, 0.024765015, -0.0039405823, 0.052368164, 0.109802246, -0.025939941, -0.010917664, 0.013473511, -0.019073486, -0.0057868958, 0.03768921, -0.028366089, 0.013259888, 0.019424438, -0.028015137, 0.020614624, 0.017456055, 0.01524353, 0.0021781921, -0.036743164, 0.02003479, -0.013648987, -0.0016756058, -0.03149414, 0.013130188, 0.03024292, 0.0115737915, 0.0015325546, 0.055358887, 0.031463623, 0.0206604, -0.020202637, -0.04385376, 0.012214661, 0.03933716, 0.0062179565, 0.018127441, 0.032836914, -0.0104599, 0.024093628, 0.018249512, 0.02381897, -0.011856079, 0.030334473, -0.0012207031, 0.03930664, -0.023788452, -0.029342651, 0.026641846, 0.032104492, -0.04498291, -0.003856659, -0.03466797, 0.022399902, -0.033996582, -0.009284973, 0.04168701, 0.01322937, -0.0033397675, 0.0048065186, 0.027633667, 0.031036377, 0.031921387, 0.013084412, -0.036254883, -0.049224854, -0.05606079, 0.015586853, -0.02861023, -0.009422302, -0.034118652, -0.03616333, -0.012176514, -0.070129395, 0.03149414, 0.07763672, 0.0019550323, -0.008148193, -0.025909424, -0.010215759, -0.03918457, -0.012664795, -0.018859863, 0.01272583, -0.017944336, -0.04522705, -0.013938904, -0.026519775, 0.05105591, 0.0015563965, 0.012077332, -0.005191803, 0.018173218, -0.012413025, -0.012763977, 0.010917664, -0.01222229, 0.0071372986, 0.0017166138, -0.048309326, -0.012931824, 0.0055160522, -0.008094788, -0.00012290478, -0.0071029663, 0.02407837, -0.0062179565, -0.0009422302, 0.022323608, 0.04598999, -0.010437012, -0.017623901, 0.06188965, 0.045043945, -0.008102417, 0.020950317, -0.011459351, -0.02545166, -0.015235901, -0.003929138, 0.0051956177, -0.016860962, -0.01889038, 0.02027893, 0.008117676, -0.021240234, -0.010238647, 0.032928467, 0.0049591064, 0.03918457, 0.005306244, -0.022003174, -0.016021729, 0.037841797, -0.008934021, 0.029815674, -0.016952515, 0.050964355, -0.021942139, 0.035308838, 0.005393982, -0.031829834, 0.029800415, -0.009963989, 0.0063591003, -0.03375244, -0.0023097992, 0.015792847, -0.033355713, -0.0026168823, -0.0034446716, -0.02381897, 0.023788452, -0.041046143, -0.0014019012, 0.021560669, 0.0061836243, -0.025253296, -0.00034284592, 0.00048089027, -0.07965088, 0.028625488, -0.019348145, 0.031585693, 0.03756714, -0.00680542, 0.023345947, -0.0040626526, 0.009155273, -0.023773193, 0.008682251, 0.009681702, -0.0070648193, -0.031173706, -0.006210327, 0.00957489, 0.014083862, 0.0284729, 0.044433594, -0.010375977, 0.052703857, -0.022613525, 0.0071258545, 0.0037441254, 0.0023441315, -0.008094788, -0.015853882, -0.021636963, -0.041290283, -0.03112793, -0.009895325, -0.009216309, 0.006225586, 0.015098572, -0.007129669, -0.031173706, 0.006210327, -0.020904541, 0.017303467, -0.007980347, -0.008552551, -0.0047416687, -0.050994873, 0.024993896, -0.033843994, 0.0057373047, 0.009353638, 0.046813965, -0.0030822754, -0.0027370453, 0.0035591125, -0.009063721, 0.059692383, -0.010719299, 0.03125, 0.046783447, -0.019042969, 0.017562866, 0.032806396, -0.019882202, -0.0007967949, 0.01777649, 0.011421204, -0.023391724, -0.003276825, 0.0021305084, 0.020935059, -0.028411865, -0.00082445145, -0.0015096664, -0.026855469, -0.0035877228, 0.028747559, 0.014221191, -0.014518738, 0.040740967, -0.0016794205, 0.064331055, -0.0017642975, -0.035064697, 0.02394104, -0.081970215, -0.001531601, 0.0038833618, -0.048187256, -0.052612305, -0.053100586, 0.006919861, -0.05493164, -0.042541504, 0.023529053, -0.0033111572, 0.048187256, 0.018417358, -0.024978638, -0.04034424, -0.004951477, -0.03427124, -0.032592773, 0.054351807, 0.033172607, 0.011009216, -0.009597778, -0.0017175674, 0.078430176, -0.0096588135, -0.0024414062, -0.0019083023, 0.026153564, -0.0368042, -0.042877197, 0.05682373, -0.04486084, 0.00623703, 0.011650085, 0.028503418, 0.06616211, -0.010559082, 0.03164673, -0.0018262863, -0.04751587, -0.0071029663, -0.033721924, -0.0020217896, 0.034240723, 0.006084442, -0.014083862, -0.0070114136, -0.026535034, 0.042114258, -0.025512695, -0.016784668, -0.05029297, -0.013046265, 0.05935669, -0.001414299, -0.039489746, -0.0256958, 0.049621582, 0.0109939575, -0.017364502, -0.024902344, 0.0069274902, -0.037750244, 0.00024724007, -0.017227173, -0.00894165, 0.017028809, -0.002603531, 0.005367279, -0.06829834, -0.024032593, -0.014259338, -0.0042877197, 0.04360962, -0.008468628, 0.007709503, -0.026657104, 0.009735107, 0.0104522705, 0.015182495, 0.019592285, 0.0030460358, 0.049865723, -0.04135132, -0.019622803, -0.032928467, -0.00894928, -0.0059432983, -0.00283432, 0.015007019, 0.021148682, 0.053985596, -0.011177063, -0.0101623535, -0.027328491, -0.007949829, -0.008728027, 0.086364746, -0.034942627, 0.021148682, 0.011917114, -0.0060920715, -0.030838013, -0.008148193, 0.053253174, -0.01348114, -0.025680542, -0.052764893, 0.02027893, 0.0054779053, 0.042144775, 0.042053223, 0.007358551, 0.028274536, 0.018981934, -0.046691895, 0.013435364, -0.0178833, 0.03945923, -0.055755615, -0.05871582, 0.051971436, 0.002576828, 0.007843018, -0.03640747, -0.04348755, -0.009338379, 0.022476196, -0.008110046, 0.000436306, 0.023162842, -0.01473999, 0.019592285, -0.013069153, 0.034240723, 0.0022735596, 0.03326416, 0.030883789, -0.025268555, -0.024780273, 0.015380859, 0.013221741, -0.025024414, -0.0129776, -0.017562866, -0.014389038, 0.06719971, 0.055877686, 0.14465332, -0.08557129, 0.033966064, 0.067993164, -0.032470703, 0.020233154, 0.034606934, 0.019592285, 0.031585693, -0.09991455, 0.008018494, -0.04006958, -0.04336548, 0.020309448, -0.010116577, 0.012420654, -0.055847168, -0.010765076, -0.054901123, -0.0018205643, 0.04748535, -0.0152282715, -0.003063202, 0.007369995, -0.017791748, 0.027435303, 0.027389526, 0.060302734, -0.066345215, 0.043823242, 0.03375244, -0.0061149597, -0.0064468384, 0.026031494, -0.018096924, 0.043548584, -0.022354126, 0.013092041, -0.029205322, -0.014022827, 0.01625061, 0.034820557, 0.01576233, 0.018234253, 0.010696411, -0.016448975, -0.02519226, -0.055603027, 0.082214355, -0.071777344, 0.008453369, -0.01235199, 0.032196045, 0.019515991, -0.038848877, 0.014778137, -0.06210327, 0.001947403, -0.035125732, -0.003982544, 0.0029029846, -0.05758667, -0.02571106, 0.034942627, -0.021469116, -0.010787964, -0.009613037, 0.03656006, 0.013069153, 0.0146102905, 0.059326172, 0.006210327, 0.0022716522, -0.034820557, -0.014144897, -0.01701355, -0.0024223328, 0.08154297, 0.03552246, 0.019515991, -0.04925537, -0.02734375, -0.0037899017, -0.0028057098, -0.010971069, 0.07525635, -0.012237549, -0.02154541, 0.02230835, 0.019836426, 0.042999268, -0.02357483, -0.015419006, 0.0007009506, 0.0077171326, 0.022659302, 0.023468018, 0.01033783, 0.04650879, -0.010124207, -0.011398315, -0.06866455, 0.032196045, -0.014930725, -0.012908936, 0.0050735474, -0.018875122, 0.009635925, 0.0056381226, 0.0067367554, 0.001871109, 0.04260254, -0.0041046143, 0.11352539, 0.009796143, -0.008476257, -0.007926941, 0.05267334, -0.09161377, -0.015655518, 0.030654907, -0.028640747, -0.037597656, -0.016021729, -0.068725586, 0.04147339, -0.039611816, 0.01158905, -0.0064926147, -0.021896362, 0.0012292862, -0.011291504, -0.052124023, -0.016830444, 0.037139893, 0.029525757, 0.0031700134, 0.003047943, 0.030059814, 0.06951904, -0.064697266, 0.04559326, -0.02394104, -0.017593384, -0.00315094, 0.042785645, 0.041656494, 0.025848389, -0.015022278, -0.034729004, -0.0039520264, 0.039916992, 0.058532715, -0.027923584, 0.0140686035, 0.015144348, 0.014587402, 0.0038642883, -0.011787415, 0.029663086, 0.03543091, 0.03704834, -0.012245178, -0.022384644, -0.03640747, -0.02583313, 0.032806396, -0.04034424, 0.054382324, 0.061645508, -0.0017566681, -0.016281128, -0.048553467, 0.13110352, 0.012168884, 0.015060425, 0.017868042, 0.0042381287, 0.0022354126, 0.009925842, -0.03112793, 0.037750244, 0.047576904, 0.0181427, -0.00868988, -0.08319092, 0.020889282, 0.034362793, 0.007881165, -0.014335632, 0.008560181, 0.005054474, -0.0002014637, -0.0095825195, 0.0068244934, -0.036254883, 0.004436493, -0.021987915, 0.009338379, 0.01272583, 0.006351471, 0.01675415, -0.0060539246, 0.08026123, -0.03656006, 0.027023315, -0.003036499, -0.03970337, 0.038726807, -0.011375427, 0.047088623, 0.03793335, -0.019424438, -0.031951904, -0.04727173, 0.04168701, 0.03564453, 0.007820129, 0.052825928, 0.012741089, 0.012557983, -0.057403564, -0.0016555786, -0.013221741, -0.012969971, -0.0023517609, 0.013008118, 0.028564453, 0.04107666, -0.02960205, 0.035980225, -0.0014219284, 0.0071907043, 0.0069770813, -0.025924683, 0.0016899109, 0.009674072, -0.00044488907, -0.008575439, 0.005355835, -0.006465912, 0.0012521744, 0.008705139, -0.008605957, 0.011329651, -0.025772095, -0.0067214966, 0.018814087, 0.018539429, -0.019989014, 0.003408432, 0.007888794, -0.017333984, 0.012924194, 0.053588867, -0.0037174225, 0.031051636, -0.0289917, -0.006084442, 0.0154418945, -0.005027771, -0.022064209, -0.0016422272, 0.041259766, -0.028808594, -0.013305664, -0.052215576, -0.009269714, 0.10333252, -0.024337769, 0.008590698, -0.0009393692, -0.025161743, -0.06036377, 0.007347107, -0.01675415, -0.004180908, 0.010818481, 0.02960205, 0.03564453, -0.0335083, -0.008232117, 0.022033691, 0.041107178, 0.068115234, 0.01574707, -0.02520752, 0.0099487305, 0.008842468, 0.024246216, -0.064819336, -0.033325195, -0.024139404, 0.027801514, -0.02897644, -0.033935547, -0.032073975, -0.06323242, -0.09399414, 0.07635498, -0.019805908, -0.03289795, 0.011306763, 0.03149414, 0.030090332, -0.050109863, -0.004650116, 0.027191162, -0.041992188, -0.07086182, 0.008171082, -0.008575439, 0.06329346, -0.035003662, -0.040161133, -0.0052833557, -0.0035381317, -0.0029964447, -0.0038871765, -0.02017212, -0.0025920868, 0.022583008, -0.043426514, -0.11175537, -0.006778717, 0.0009407997, -0.015335083, -0.07757568, 0.082214355, 0.012649536, -0.07171631, -0.014694214, -0.041229248, -0.03656006, 0.053710938, 0.035949707, -0.026351929, 0.03555298, -0.0019416809, 0.009391785, -0.0041007996, -0.017974854, 0.004005432, 0.011734009, -0.043395996, -0.004180908, -0.015602112, 0.00774765, 0.017532349, 0.0045928955, 0.0034427643, 0.008659363, -0.0024089813, 0.042999268, -0.030258179, 0.0023117065, 0.028335571, 0.020980835, -0.0046920776, -0.035217285, -0.007282257, 0.038208008, -0.014266968, 0.036895752, -0.012420654, -0.027542114, 0.020965576, 0.017684937, 0.009231567, 0.024765015, -0.027938843, 0.024047852, -0.018310547, -0.007205963, -0.030899048, -0.0021705627, -0.040008545, 0.037963867, -0.0024852753, 0.00022518635, 0.03881836, -0.016143799, 0.015159607, 0.003435135, -0.031158447, 0.023345947, -0.008903503, -0.09863281, -0.044311523, -0.008392334], 'embedding_dimensions': 1024, 'embedding_generated_at': '2025-09-23T11:28:49.214Z'}",TRUE
LC-464-a,confidentiality,information_protection,[PARTY B] shall return all Confidential Information in [PARTY B]'s possession within one (1) business day of termination or expiration of the Agreement and retain no copies.,Talent must return all confidential materials immediately after termination.,high,TRUE,1,"['confidentiality', 'return_obligation']",{},TRUE
LC-465-a,confidentiality,information_protection,[PARTY B] shall direct all press inquiries related to services under the Agreement to [PARTY A] and shall not communicate with the press without [PARTY A]'s prior written approval.,Talent must not speak to press without written approval from the brand.,high,TRUE,1,"['press', 'confidentiality', 'media']",{},TRUE
LC-470-a,termination_for_cause,contract_lifecycle,"If [PARTY B] perishes or suffers any disability preventing the performance of Services for more than thirty (30) days, [PARTY A] may terminate the Agreement.",Brand may terminate if Talent dies or is disabled for over 30 days.,medium,TRUE,1,"['termination', 'disability']",{},TRUE
LC-470-b,termination_for_cause,contract_lifecycle,"If an Event of Force Majeure occurs and continues for more than fifteen (15) days, [PARTY A] may terminate the Agreement.",Brand may terminate if force majeure lasts more than 15 days.,medium,TRUE,1,"['termination', 'force_majeure']",{},TRUE
LC-471-a,termination_for_cause,contract_lifecycle,"Upon termination under disability or force majeure provisions, [PARTY B] is only entitled to compensation accrued as of the date of termination and must promptly refund any unearned amounts.",Talent receives only earned compensation and must refund the rest upon certain terminations.,medium,TRUE,1,"['termination', 'refund', 'pro_rata']",{},TRUE
LC-472-a,termination_for_cause,contract_lifecycle,"If [PARTY B] fails to post any agreed Services on any agreed Production Day for reasons other than a Force Majeure Event, the Agreement shall be considered null and void, and [PARTY A] shall owe no amounts.",Failing to post on time voids the contract and Talent is not owed payment.,high,TRUE,1,"['failure_to_post', 'termination', 'forfeiture']",{},TRUE
LC-473-a,force_majeure,contract_lifecycle,"A Force Majeure Event includes natural catastrophes, labor disputes, acts of God, war, carrier delays, disease, outbreak, governmental orders, or any similar cause beyond [PARTY B]'s control that affects Services or [PARTY A]'s rights.",Defines force majeure conditions that excuse Talent's duties.,medium,TRUE,1,"['force_majeure', 'definition']",{},TRUE
LC-474-a,termination_for_cause,contract_lifecycle,"[PARTY A] may immediately terminate the Agreement if [PARTY B] commits any act that is an offense under applicable law, brings [PARTY B] or [PARTY A] into public disrepute, scandal, ridicule, or harms any of [PARTY A]'s products.",Brand may immediately terminate for morals violations or reputational harm.,high,TRUE,1,"['morals', 'misconduct', 'termination']",{},TRUE
