clause_id,clause_type,category,standard_text,risk_level,plain_english_summary,tags,is_required
LC-001-a,termination_for_convenience,contract_lifecycle,"Either party may terminate this Agreement upon thirty (30) days prior written notice to the other party.",medium,"Standard 30-day termination notice allowing either party to exit without cause","termination|notice|30-day",false
LC-002-a,termination_for_cause,contract_lifecycle,"Either party may terminate this Agreement immediately upon written notice if the other party materially breaches any provision of this Agreement and fails to cure such breach within fifteen (15) days after receiving written notice thereof.",high,"Allows immediate termination if the other party breaches and doesn't fix it within 15 days","termination|breach|cure-period",true
LC-003-a,payment_terms,financial,"All fees shall be due and payable within thirty (30) days of the date of invoice. Late payments shall accrue interest at the rate of 1.5% per month or the maximum rate permitted by law, whichever is less.",medium,"Net-30 payment terms with 1.5% monthly late fee","payment|net-30|late-fee",true
LC-004-a,confidentiality,information_protection,"Each party agrees to maintain in confidence all Confidential Information disclosed by the other party and to use such Confidential Information solely for the purposes of this Agreement. This obligation shall survive termination for a period of three (3) years.",high,"Standard mutual NDA - keep secrets for 3 years after contract ends","confidentiality|nda|3-year",true
LC-005-a,intellectual_property,ip_rights,"All intellectual property created by Contractor in the performance of this Agreement shall be deemed 'work made for hire' and shall be the sole and exclusive property of Client.",high,"Client owns all IP created during the engagement","ip|work-for-hire|ownership",true
LC-006-a,indemnification,liability,"Contractor shall indemnify, defend, and hold harmless Client from and against any and all claims, damages, losses, costs, and expenses arising out of or relating to Contractor's breach of this Agreement or negligent acts or omissions.",critical,"Contractor protects Client from third-party claims due to contractor's actions","indemnification|liability|defense",true
LC-007-a,limitation_of_liability,liability,"IN NO EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, CONSEQUENTIAL, OR PUNITIVE DAMAGES, REGARDLESS OF THE CAUSE OF ACTION OR WHETHER SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",medium,"Neither party liable for indirect damages like lost profits","liability|cap|consequential-damages",false
LC-008-a,force_majeure,risk_allocation,"Neither party shall be liable for any failure or delay in performing its obligations under this Agreement if such failure or delay results from circumstances beyond the reasonable control of that party, including but not limited to acts of God, natural disasters, war, terrorism, riots, embargoes, or acts of civil or military authorities.",low,"Excuses performance during uncontrollable events like natural disasters","force-majeure|acts-of-god|delay",false
LC-009-a,governing_law,dispute_resolution,"This Agreement shall be governed by and construed in accordance with the laws of the State of [STATE], without regard to its conflict of laws principles.",low,"Which state's laws apply to interpret the contract","governing-law|jurisdiction|choice-of-law",true
LC-010-a,entire_agreement,general,"This Agreement constitutes the entire agreement between the parties with respect to the subject matter hereof and supersedes all prior and contemporaneous agreements, representations, and understandings.",low,"This contract replaces all previous discussions and agreements","entire-agreement|integration|merger",false
